question,dimension,answer,family
"What is the number of vertices in a triangle?",2,3,simplex/tetra
"What is the number of vertices in a triangular pyramid?",3,4,simplex/tetra
"What is the number of vertices in a 4-simplex?",4,5,simplex/tetra
"What is the number of vertices in a square?",2,4,box
"What is the number of vertices in a cube?",3,8,box
"What is the number of vertices in a tesseract?",4,16,box
"What is the number of edges in a triangle?",2,3,simplex/tetra
"What is the number of edges in a triangular pyramid?",3,6,simplex/tetra
"What is the number of edges in a 4-simplex?",4,10,simplex/tetra
"What is the number of edges in a square?",2,4,box
"What is the number of edges in a cube?",3,12,box
"What is the number of edges in a tesseract?",4,32,box
"What is the number of 2-dimensional faces in a triangle?",2,1,simplex/tetra
"What is the number of 2-dimensional faces in a triangular pyramid?",3,4,simplex/tetra
"What is the number of 2-dimensional faces in a 4-simplex?",4,10,simplex/tetra
"What is the number of 2-dimensional faces in a square?",2,1,box
"What is the number of 2-dimensional faces in a cube?",3,6,box
"What is the number of 2-dimensional faces in a tesseract?",4,24,box
"How many vertices does a triangle have?",2,3,simplex/tetra
"How many vertices does a triangular pyramid have?",3,4,simplex/tetra
"How many vertices does a 4-simplex have?",4,5,simplex/tetra
"How many vertices does a square have?",2,4,box
"How many vertices does a cube have?",3,8,box
"How many vertices does a tesseract have?",4,16,box
"How many edges does a triangle have?",2,3,simplex/tetra
"How many edges does a triangular pyramid have?",3,6,simplex/tetra
"How many edges does a 4-simplex have?",4,10,simplex/tetra
"How many edges does a square have?",2,4,box
"How many edges does a cube have?",3,12,box
"How many edges does a tesseract have?",4,32,box
"How many 2-dimensional faces does a triangle have?",2,1,simplex/tetra
"How many 2-dimensional faces does a triangular pyramid have?",3,4,simplex/tetra
"How many 2-dimensional faces does a 4-simplex have?",4,10,simplex/tetra
"How many 2-dimensional faces does a square have?",2,1,box
"How many 2-dimensional faces does a cube have?",3,6,box
"How many 2-dimensional faces does a tesseract have?",4,24,box
"What is the vertex count of a triangle?",2,3,simplex/tetra
"What is the vertex count of a triangular pyramid?",3,4,simplex/tetra
"What is the vertex count of a 4-simplex?",4,5,simplex/tetra
"What is the vertex count of a square?",2,4,box
"What is the vertex count of a cube?",3,8,box
"What is the vertex count of a tesseract?",4,16,box
"What is the edge count of a triangle?",2,3,simplex/tetra
"What is the edge count of a triangular pyramid?",3,6,simplex/tetra
"What is the edge count of a 4-simplex?",4,10,simplex/tetra
"What is the edge count of a square?",2,4,box
"What is the edge count of a cube?",3,12,box
"What is the edge count of a tesseract?",4,32,box
"What is the 2-dimensional face count of a triangle?",2,1,simplex/tetra
"What is the 2-dimensional face count of a triangular pyramid?",3,4,simplex/tetra
"What is the 2-dimensional face count of a 4-simplex?",4,10,simplex/tetra
"What is the 2-dimensional face count of a square?",2,1,box
"What is the 2-dimensional face count of a cube?",3,6,box
"What is the 2-dimensional face count of a tesseract?",4,24,box
"What is the perimeter of a square with side length 1?",2,4,box
"What is the perimeter of a rectangle with length 2 and width 3?",2,10,box
"What is the area of a right triangle with legs 3 and 4?",2,6,simplex/tetra
"What multiple of pi is the circumference of a circle with radius 1?",2,2,circle/sphere
"What is the area of a square with side length 1?",2,1,box
"What is the area of a rectangle with length 2 and width 3?",2,6,box
"What is the length of the hypotenuse of a right triangle with legs 3 and 4?",2,5,simplex/tetra
"What multiple of pi is the area of a circle with radius 1?",2,1,circle/sphere
"What is the perimeter of a square with side length 2?",2,8,box
"What is the perimeter of a rectangle with length 2 and width 4?",2,12,box
"What is the area of a right triangle with legs 5 and 12?",2,30,simplex/tetra
"What multiple of pi is the circumference of a circle with radius 2?",2,4,circle/sphere
"What is the area of a square with side length 2?",2,4,box
"What is the area of a rectangle with length 2 and width 4?",2,8,box
"What is the length of the hypotenuse of a right triangle with legs 5 and 12?",2,13,simplex/tetra
"What multiple of pi is the area of a circle with radius 2?",2,4,circle/sphere
"What is the perimeter of a square with side length 3?",2,12,box
"What is the perimeter of a rectangle with length 2 and width 5?",2,14,box
"What is the area of a right triangle with legs 6 and 8?",2,24,simplex/tetra
"What multiple of pi is the circumference of a circle with radius 3?",2,6,circle/sphere
"What is the area of a square with side length 3?",2,9,box
"What is the area of a rectangle with length 2 and width 5?",2,10,box
"What is the length of the hypotenuse of a right triangle with legs 6 and 8?",2,10,simplex/tetra
"What multiple of pi is the area of a circle with radius 3?",2,9,circle/sphere
"What is the perimeter of a square with side length 4?",2,16,box
"What is the perimeter of a rectangle with length 2 and width 6?",2,16,box
"What is the area of a right triangle with legs 9 and 12?",2,54,simplex/tetra
"What multiple of pi is the circumference of a circle with radius 4?",2,8,circle/sphere
"What is the area of a square with side length 4?",2,16,box
"What is the area of a rectangle with length 2 and width 6?",2,12,box
"What is the length of the hypotenuse of a right triangle with legs 9 and 12?",2,15,simplex/tetra
"What multiple of pi is the area of a circle with radius 4?",2,16,circle/sphere
"What is the perimeter of a square with side length 5?",2,20,box
"What is the perimeter of a rectangle with length 2 and width 7?",2,18,box
"What is the area of a right triangle with legs 8 and 15?",2,60,simplex/tetra
"What multiple of pi is the circumference of a circle with radius 5?",2,10,circle/sphere
"What is the area of a square with side length 5?",2,25,box
"What is the area of a rectangle with length 2 and width 7?",2,14,box
"What is the length of the hypotenuse of a right triangle with legs 8 and 15?",2,17,simplex/tetra
"What multiple of pi is the area of a circle with radius 5?",2,25,circle/sphere
"What is the perimeter of a square with side length 6?",2,24,box
"What is the perimeter of a rectangle with length 2 and width 8?",2,20,box
"What multiple of pi is the circumference of a circle with radius 6?",2,12,circle/sphere
"What is the area of a square with side length 6?",2,36,box
"What is the area of a rectangle with length 2 and width 8?",2,16,box
"What multiple of pi is the area of a circle with radius 6?",2,36,circle/sphere
"What is the perimeter of a square with side length 7?",2,28,box
"What is the perimeter of a rectangle with length 2 and width 9?",2,22,box
"What multiple of pi is the circumference of a circle with radius 7?",2,14,circle/sphere
"What is the area of a square with side length 7?",2,49,box
"What is the area of a rectangle with length 2 and width 9?",2,18,box
"What multiple of pi is the area of a circle with radius 7?",2,49,circle/sphere
"What is the perimeter of a square with side length 8?",2,32,box
"What is the perimeter of a rectangle with length 2 and width 10?",2,24,box
"What multiple of pi is the circumference of a circle with radius 8?",2,16,circle/sphere
"What is the area of a square with side length 8?",2,64,box
"What is the area of a rectangle with length 2 and width 10?",2,20,box
"What multiple of pi is the area of a circle with radius 8?",2,64,circle/sphere
"What is the perimeter of a square with side length 9?",2,36,box
"What is the perimeter of a rectangle with length 2 and width 11?",2,26,box
"What multiple of pi is the circumference of a circle with radius 9?",2,18,circle/sphere
"What is the area of a square with side length 9?",2,81,box
"What is the area of a rectangle with length 2 and width 11?",2,22,box
"What multiple of pi is the area of a circle with radius 9?",2,81,circle/sphere
"What is the perimeter of a square with side length 10?",2,40,box
"What is the perimeter of a rectangle with length 2 and width 12?",2,28,box
"What multiple of pi is the circumference of a circle with radius 10?",2,20,circle/sphere
"What is the area of a square with side length 10?",2,100,box
"What is the area of a rectangle with length 2 and width 12?",2,24,box
"What multiple of pi is the area of a circle with radius 10?",2,100,circle/sphere
