2D,3D,4D,answer,type,aug_source_id,aug_map
"In rectangle ABEF, AB=5. What is the relationship between line AB and line EF?","In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and line EF?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line EF?",A,1,0,
"In rectangle BEFG, BE=5. What is the relationship between line BE and line FG?","In rectangular solid BEFG-HJIK, BE=5. What is the relationship between line BE and line FG?","In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line FG?",A,1,0,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
"In rectangle EFGH, EF=5. What is the relationship between line EF and line GH?","In rectangular solid EFGH-JKIL, EF=5. What is the relationship between line EF and line GH?","In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line GH?",A,1,0,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
"In rectangle FGHJ, FG=5. What is the relationship between line FG and line HJ?","In rectangular solid FGHJ-KLIM, FG=5. What is the relationship between line FG and line HJ?","In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line HJ?",A,1,0,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
"In rectangle GHJK, GH=5. What is the relationship between line GH and line JK?","In rectangular solid GHJK-LMIN, GH=5. What is the relationship between line GH and line JK?","In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line JK?",A,1,0,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
"In rectangle BAEF, BA=5. What is the relationship between line BA and line EF?","In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and line EF?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line EF?",A,1,0,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,"In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and line IJ?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line IJ?",A,1,1,
-,"In rectangular solid BEFG-HJIK, BE=5. What is the relationship between line BE and line IK?","In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line IK?",A,1,1,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,"In rectangular solid EFGH-JKIL, EF=5. What is the relationship between line EF and line IL?","In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line IL?",A,1,1,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,"In rectangular solid FGHJ-KLIM, FG=5. What is the relationship between line FG and line IM?","In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line IM?",A,1,1,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
