2D,3D,4D,answer,type
"In rectangle ABCD, what is the relationship between line AC and line BD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane BDFH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane AEGJMN and 3D hyperplane BFHKOP?",C,1
"In rectangle ABCD, what is the relationship between line AB and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJKM and 3D hyperplane BCGF-JKLN?",B,1
"In rectangle ABCD, what is the relationship between line AB and line EF?","In rectangular solid ABCD-EFGH, what is the relationship between line AB and line CG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between line AB and line MN?",D,1
"In triangle ABC, M is the midpoint of AC. What is the relationship between line BM and line AC?","In tetrahedron ABCD, M is the centroid of face ACD. What is the relationship between line BM and plane ACD?","In 5-cell (4-simplex) ABCDE, M is the centroid of tetrahedral facet ACDE. What is the relationship between line BM and 3D hyperplane ACDE?",A,2
"In triangle ABC, what is the relationship between line AB and line BC?","In regular tetrahedron ABCD, what is the relationship between plane ABC and plane BCD?","In 5-cell (4-simplex) ABCDE, what is the relationship between 3D hyperplane ABCD and 3D hyperplane BCDE?",A,2
"In rectangle ABCD, do lines AC and BD intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and BDFH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes AEGJMN and BDFHOP intersect?",A,2
Line l is tangent to circle O at point P. What is the relationship between line l and line OP?,Plane H is tangent to sphere O at point P. What is the relationship between plane H and line OP?,3D hyperplane H is tangent to 3-sphere O at point P. What is the relationship between 3D hyperplane H and line OP?,A,2
"In rectangle ABCD, what is the relationship between line AB and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane DCGH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJKM and 3D hyperplane DCGH-LNOP?",B,2
"Points A, B, and C are the vertices of a triangle. Are points A, B, and C collinear?","Points A, B, C, and D are the vertices of a tetrahedron. Are points A, B, C, and D coplanar?","Points A, B, C, D, and E are the vertices of a 5-cell (4-simplex). Are points A, B, C, D, and E cohyperplanar?",B,3
"In rectangle ABCD, are points A, C, and the intersection point of diagonals AC and BD collinear?","In rectangular solid ABCD-EFGH, are points A, C, E, and G coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, C, E, G, I, and K cohyperplanar?",A,3
"In triangle ABC, D is a point not specified to lie on any side. Are points A, B, and D collinear?","In tetrahedron ABCD, E is a point not specified to lie on any face. Are points A, B, C, and E coplanar?","In 5-cell (4-simplex) ABCDE, F is a point not specified to lie on any facet. Are points A, B, C, D, and F cohyperplanar?",C,3
"In rectangle ABCD, are points A, B, C, and D collinear?","In rectangular solid ABCD-EFGH, are points A, B, E, and F coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, E, F, I, J, M, and N cohyperplanar?",A,3
"In triangle ABC, M is the midpoint of AB and N is the midpoint of AC. What is the relationship between line MN and line BC?","In tetrahedron ABCD, M, N, and P are the midpoints of AB, AC, and AD. What is the relationship between plane MNP and plane BCD?","In 5-cell (4-simplex) ABCDE, M, N, P, and Q are the midpoints of AB, AC, AD, and AE. What is the relationship between 3D hyperplane MNPQ and 3D hyperplane BCDE?",A,1
"In rectangle ABCD, what is the relationship between line AD and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ADHE and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ADHE-ILPM and 3D hyperplane BCGF-JKNO?",A,1
"In triangle ABC, H is the foot of the altitude from A to BC. What is the relationship between line AH and line BC?","In tetrahedron ABCD, H is the foot of the altitude from A to plane BCD. What is the relationship between line AH and plane BCD?","In 5-cell (4-simplex) ABCDE, H is the foot of the altitude from A to 3D hyperplane BCDE. What is the relationship between line AH and 3D hyperplane BCDE?",B,1
"In rectangle ABCD, what is the relationship between line AC and line AB?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane ABCD?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane ABCD-IJKL?",C,1
"In circle O, AB is a diameter and C is a point on the circle distinct from A and B. Are points A, O, and B collinear?","In sphere O, A and B are endpoints of a diameter and C is another point on the sphere. Are points A, O, and B, C coplanar?","In 3-sphere O, A and B are endpoints of a diameter and C, D are other points on the 3-sphere. Are points A, O, B, C, and D cohyperplanar?",C,3
"In circle O, chord AB intersects chord CD at point P inside the circle. Are points A, P, and B collinear?","In sphere O, circles in planes ABC and ABD intersect in line AB. Are points A, B, C, and D coplanar?","In 3-sphere O, spheres in 3D hyperplanes ABCD and ABCE intersect in plane ABC. Are points A, B, C, D, and E cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line AC and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane CDHG-KLNO?",C,2
